Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},Densidade do ar {kg/m3}
1,20,9,89.7,15.733.754,1.035.963.616
1,20,10,89.7,17.293.193,1.025.075.591
1,20,11,89.8,16.505.557,1.019.920.459
1,20,12,89.7,17.871.264,1.013.219.747
1,20,13,89.7,15.488.279,1.020.752.069
1,20,14,89.7,15.679.373,1.026.977.569
1,20,15,89.6,15.335.971,1.027.077.405
1,20,16,89.6,16.470.762,1.032.210.945
1,20,17,89.5,18.153.599,1.019.010.722
1,20,18,89.5,19.423.994,1.011.211.118
1,20,19,89.5,17.681.788,1.021.136.001
1,20,20,89.6,16.973.495,1.025.482.202
1,20,21,89.6,17.351.644,1.027.997.619
1,20,22,89.7,16.860.535,1.032.382.098
1,20,23,89.7,16.619.172,1.034.527.224
1,20,24,89.7,16.173.047,1.037.719.124
1,21,1,89.7,15.965.251,103.876.487
1,21,2,89.7,15.556.779,1.040.849.683
1,21,3,89.7,15.397.887,1.042.176.418
1,21,4,89.7,15.101.083,1.043.731.902
1,21,5,89.6,15.258.882,1.042.310.147
1,21,6,89.6,15.160.393,1.042.827.976
1,21,7,89.6,14.868.324,1.044.378.315
1,21,8,89.7,14.906.058,1.044.766.253
1,21,9,89.8,15.741.556,1.040.997.427
1,21,10,89.9,16.578.733,103.059.512
1,21,11,89.9,16.437.415,1.024.593.668
1,21,12,89.9,17.241.731,1.020.905.118
1,21,13,89.9,17.461.824,1.028.824.288
1,21,14,89.8,17.796.637,1.027.142.056
1,21,15,89.7,17.205.084,1.028.336.744
1,21,16,89.6,18.131.734,1.020.184.129
1,21,17,89.5,20.779.919,1.006.050.154
1,21,18,89.5,20.645.179,1.006.596.687
1,21,19,89.6,1.944.245,1.015.367.614
1,21,20,89.8,18.610.297,1.028.616.019
1,21,21,89.8,17.312.719,1.034.205.475
1,21,22,89.9,15.164.332,1.045.597.568
1,21,23,89.9,14.704.566,1.045.994.968
1,21,24,89.9,14.926.846,1.046.345.237
1,22,1,89.9,14.871.629,1.047.152.329
1,22,2,89.8,14.750.504,1.046.186.514
1,22,3,89.8,14.559.087,1.047.218.028
1,22,4,89.7,14.439.267,1.046.248.807
1,22,5,89.7,14.303.129,1.046.472.666
1,22,6,89.7,14.439.267,1.046.248.807
1,22,7,89.7,14.522.727,1.046.828.746
1,22,8,89.8,14.750.504,1.046.186.514
1,22,9,89.8,1.444.584,1.045.256.222
1,22,10,89.8,15.114.117,1.036.717.953
1,22,11,89.8,16.862.669,1.028.643.734
1,22,12,89.8,17.590.973,1.020.580.037
1,22,13,89.8,19.780.489,1.013.359.317
1,22,14,89.6,1.575.841,1.017.479.318
1,22,15,89.6,15.406.234,1.023.857.921
1,22,16,89.5,15.689.666,1.028.134.706
1,22,17,89.4,16.139.665,1.024.876.043
1,22,18,89.4,16.746.876,1.014.993.754
1,22,19,89.4,16.726.139,1.017.409.801
1,22,20,89.4,16.791.826,1.020.385.326
1,22,21,89.5,16.371.346,102.773.153
1,22,22,89.6,16.177.284,1.030.238.114
1,22,23,89.6,15.731.055,1.033.408.272
1,22,24,89.7,15.197.869,1.037.187.392
1,23,1,89.7,15.532.446,1.039.470.096
1,23,2,89.6,15.306.767,1.039.033.163
1,23,3,89.6,15.248.433,1.039.837.462
1,23,4,89.6,15.175.251,1.041.734.298
1,23,5,89.5,14.996.312,1.041.576.037
1,23,6,89.6,14.910.104,1.044.667.627
1,23,7,89.7,1.451.174,1.047.924.375
1,23,8,89.7,1.480.939,1.045.282.647
1,23,9,89.7,15.439.727,1.042.464.224
1,23,10,89.7,15.336.502,1.029.611.158
1,23,11,89.8,16.529.032,1.022.620.443
1,23,12,89.8,17.979.459,1.016.550.956
1,23,13,89.7,18.128.033,1.016.202.337
1,23,14,89.6,16.428.161,1.021.875.527
1,23,15,89.5,16.388.543,102.909.616
1,23,16,89.4,16.736.243,1.026.343.878
1,23,17,89.4,17.758.421,1.026.788.445
1,23,18,89.4,16.063.235,1.030.564.732
1,23,19,89.4,164.825,1.033.395.164
1,23,20,89.4,15.384.636,1.036.940.834
1,23,21,89.5,16.664.959,1.029.697.004
1,23,22,89.6,15.856.654,1.034.257.813
1,23,23,89.7,15.063.388,1.039.880.994
1,23,24,89.7,13.506.164,1.046.709.504
1,24,1,89.7,13.415.072,1.047.217.896
1,24,2,89.6,1.401.745,1.044.344.717
1,24,3,89.6,1.401.745,1.044.344.717
1,24,4,89.5,1.402.392,1.044.240.108
1,24,5,89.5,13.266.193,1.045.843.812
1,24,6,89.5,1.330.119,1.047.220.992
1,24,7,89.6,1.310.768,1.049.430.419
1,24,8,89.7,13.324.509,1.047.725.807
1,24,9,89.8,15.760.085,1.039.902.978
1,24,10,89.8,15.843.847,1.040.475.544
1,24,11,89.9,16.012.058,1.041.714.795
1,24,12,89.9,16.034.994,1.043.100.645
1,24,13,89.9,15.831.123,1.044.147.407
1,24,14,89.9,15.571.558,1.046.002.703
1,24,15,89.9,14.900.515,1.048.540.453
1,24,16,89.6,14.676.415,1.045.409.287
1,24,17,89.5,14.773.562,1.041.228.093
1,24,18,89.5,1.505.732,1.037.218.845
1,24,19,89.6,14.673.979,103.829.558
1,24,20,89.7,14.488.559,1.041.885.324
1,24,21,89.7,14.392.003,1.042.398.998
1,24,22,89.8,14.088.897,1.045.128.305
1,24,23,89.8,14.067.638,1.047.309.729
1,24,24,89.8,1.351.658,1.050.375.097
1,25,1,89.8,13.248.195,1.051.901.279
